model,split,n,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
logistic_regression,validation,1376,0.815406976744186,0.7883895131086143,0.7491103202846975,0.7682481751824818,0.8705745538485752,701,113,141,421
logistic_regression,test,1749,0.8136077758719268,0.7844474761255116,0.7738896366083445,0.7791327913279132,0.871829587749412,848,158,168,575
random_forest,validation,1376,0.846656976744186,0.8891352549889135,0.7135231316725978,0.7917077986179665,0.9161274668392105,764,50,161,401
random_forest,test,1749,0.8433390508862207,0.8704581358609794,0.7415881561238223,0.8008720930232558,0.8971447225128368,924,82,192,551
