epoch,train_loss,learning_rate,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp,validation_loss
1,0.42812244303206193,1.7777777777777777e-05,0.8995253164556962,0.954337899543379,0.7961904761904762,0.8681204569055037,0.9489039242219215,719,20,107,418,0.2926441011478818
2,0.24793139309253945,1.3333333333333333e-05,0.9058544303797469,0.9092741935483871,0.8590476190476191,0.8834476003917727,0.9624357239512855,694,45,74,451,0.24844458728698612
3,0.1981116865280444,8.888888888888888e-06,0.9137658227848101,0.9622222222222222,0.8247619047619048,0.8882051282051282,0.9643198659707455,722,17,92,433,0.3013130253611156
4,0.1729880217952754,4.444444444444444e-06,0.9200949367088608,0.9669603524229075,0.8361904761904762,0.8968335035750766,0.9683433210902763,724,15,86,439,0.2710589814424232
5,0.14261076212444349,0.0,0.9216772151898734,0.959051724137931,0.8476190476190476,0.8998988877654196,0.9686590630839615,720,19,80,445,0.2647005187824982
